Date,Price
03/31/2023,103.29
03/30/2023,102
03/29/2023,100.25
03/28/2023,97.24
03/27/2023,98.04
03/24/2023,98.13
03/23/2023,98.71
03/22/2023,98.7
03/21/2023,100.61
03/20/2023,97.71
03/17/2023,98.95
03/16/2023,100.04
03/15/2023,96.2
03/14/2023,94.88
03/13/2023,92.43
03/10/2023,90.73
03/09/2023,92.25
03/08/2023,93.92
03/07/2023,93.55
03/06/2023,93.75
03/03/2023,94.9
03/02/2023,92.13
03/01/2023,92.17
02/28/2023,94.23
02/27/2023,93.76
02/24/2023,93.5
02/23/2023,95.82
02/22/2023,95.79
02/21/2023,94.58
02/17/2023,97.2
02/16/2023,98.15
02/15/2023,101.16
02/14/2023,99.7
02/13/2023,99.54
02/10/2023,97.61
02/09/2023,98.24
02/08/2023,100.05
02/07/2023,102.11
02/06/2023,102.18
02/03/2023,103.39
02/02/2023,112.91
02/01/2023,105.15
01/31/2023,103.13
01/30/2023,100.55
01/27/2023,102.24
01/26/2023,99.22
01/25/2023,97.18
01/24/2023,96.32
01/23/2023,97.52
01/20/2023,97.25
01/19/2023,93.68
01/18/2023,95.46
01/17/2023,96.05
01/13/2023,98.12
01/12/2023,95.27
01/11/2023,95.09
01/10/2023,89.87
01/09/2023,87.36
01/06/2023,86.08
01/05/2023,83.12
01/04/2023,85.14
01/03/2023,85.82
12/30/2022,84
12/29/2022,84.18
12/28/2022,81.82
12/27/2022,83.04
12/23/2022,85.25
12/22/2022,83.79
12/21/2022,86.77
12/20/2022,85.19
12/19/2022,84.92
12/16/2022,87.86
12/15/2022,88.45
12/14/2022,91.58
12/13/2022,92.49
12/12/2022,90.55
12/09/2022,89.09
12/08/2022,90.35
12/07/2022,88.46
12/06/2022,88.25
12/05/2022,91.01
12/02/2022,94.13
12/01/2022,95.5
11/30/2022,96.54
11/29/2022,92.42
11/28/2022,93.95
11/25/2022,93.41
11/23/2022,94.13
11/22/2022,93.2
11/21/2022,92.46
11/18/2022,94.14
11/17/2022,94.85
11/16/2022,97.12
11/15/2022,98.94
11/14/2022,98.49
11/11/2022,100.79
11/10/2022,96.63
11/09/2022,86.14
11/08/2022,89.98
11/07/2022,90.53
11/04/2022,90.98
11/03/2022,89.3
11/02/2022,92.12
11/01/2022,96.79
10/31/2022,102.44
10/28/2022,103.41
10/27/2022,110.96
10/26/2022,115.66
