Date,Price
03/31/2023,77.08
03/30/2023,76.59
03/29/2023,76.11
03/28/2023,75.24
03/27/2023,75.44
03/24/2023,75.69
03/23/2023,73.81
03/22/2023,74.13
03/21/2023,75.36
03/20/2023,75.97
03/17/2023,75.67
03/16/2023,76.23
03/15/2023,75.52
03/14/2023,74.55
03/13/2023,73.29
03/10/2023,73.01
03/09/2023,73.76
03/08/2023,74.25
03/07/2023,73.75
03/06/2023,74.4
03/03/2023,73.83
03/02/2023,72.21
03/01/2023,69.87
02/28/2023,71.03
02/27/2023,71.86
02/24/2023,72.92
02/23/2023,72.87
02/22/2023,73.68
02/21/2023,73.66
02/17/2023,76.07
02/16/2023,75.69
02/15/2023,76.94
02/14/2023,76.03
02/13/2023,75.62
02/10/2023,74.74
02/09/2023,73.27
02/08/2023,75.03
02/07/2023,76.08
02/06/2023,75.51
02/03/2023,74.67
02/02/2023,75.6
02/01/2023,74.24
01/31/2023,74.63
01/30/2023,75.05
01/27/2023,75.58
01/26/2023,76.4
01/25/2023,76.59
01/24/2023,83.9
01/23/2023,82.67
01/20/2023,81.82
01/19/2023,82.59
01/18/2023,83.8
01/17/2023,85.74
01/13/2023,84.68
01/12/2023,85.07
01/11/2023,85
01/10/2023,84.54
01/09/2023,84.07
01/06/2023,83.65
01/05/2023,82.63
01/04/2023,84.49
01/03/2023,83.83
12/30/2022,83.6
12/29/2022,84.08
12/28/2022,83.16
12/27/2022,84
12/23/2022,84.17
12/22/2022,83.34
12/21/2022,84.65
12/20/2022,83.52
12/19/2022,83.52
12/16/2022,84.14
12/15/2022,85.81
12/14/2022,87.05
12/13/2022,87.15
12/12/2022,86.55
12/09/2022,84.51
12/08/2022,85.76
12/07/2022,85.29
12/06/2022,85.18
12/05/2022,85.15
12/02/2022,85.2
12/01/2022,84.83
11/30/2022,84.7
11/29/2022,82.49
11/28/2022,83.73
11/25/2022,85.34
11/23/2022,84.92
11/22/2022,84.11
11/21/2022,83.6
11/18/2022,83.2
11/17/2022,82.35
11/16/2022,84.32
11/15/2022,82.91
11/14/2022,81.66
11/11/2022,83.31
11/10/2022,83.2
11/09/2022,78.2
11/08/2022,78.27
11/07/2022,77.29
11/04/2022,78.8
11/03/2022,78.18
11/02/2022,77.28
11/01/2022,77.71
10/31/2022,77.5
10/28/2022,79.03
10/27/2022,75.47
10/26/2022,75.6
10/25/2022,75.86
10/24/2022,73.28
10/21/2022,71.65
10/20/2022,70.64
10/19/2022,73.64
10/18/2022,75.06
10/17/2022,73.65
10/14/2022,71.77
10/13/2022,73.09
10/12/2022,72.75
10/11/2022,76.03
10/10/2022,76.74
10/07/2022,76.73
10/06/2022,78.91
10/05/2022,81.77
10/04/2022,82.82
10/03/2022,81.19
09/30/2022,78.41
09/29/2022,79.97
09/28/2022,82.37
09/27/2022,81.08
09/26/2022,81.15
09/23/2022,82.52
09/22/2022,83.54
09/21/2022,83.97
09/20/2022,85.69
09/19/2022,86.84
09/16/2022,84.79
09/15/2022,86.01
09/14/2022,88.88
